Municipios,Periodo,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona 
28003 Alameda del Valle,2022,24.461630999999997,21.661849999999998,40.553290999999994,23.388503999999998,32.670055999999995,18.842138
"28004 Ãlamo, El",2022,18.117279,16.521749999999997,39.964802,13.721968999999998,33.904728999999996,11.640752999999998
28005 AlcalÃ¡ de Henares,2022,21.949275999999998,19.458949999999998,47.672853999999994,17.561308999999998,39.323863,14.485640999999998
28006 Alcobendas,2022,20.283,22.39615,41.656839,16.457760999999998,34.941,20.344305999999996
28007 AlcorcÃ³n,2022,22.252437,20.19325,46.955338,17.837196,38.642013,14.678657
28008 Aldea del Fresno,2022,17.316892,15.78745,35.600962,13.527904,30.418902,11.558931
28009 Algete,2022,27.583455,22.39615,69.48995599999999,22.002775,53.888179,17.061985
28010 Alpedrete,2022,25.933378,23.13045,59.778313999999995,21.125811,47.15779499999999,16.665463
28011 Ambite,2022,17.182619999999996,15.053149999999999,30.908784999999998,13.856240999999999,26.211362999999995,11.749849
28012 Anchuelo,2022,19.085506,17.25605,39.697307,15.088816,33.138959,12.596391999999998
28013 Aranjuez,2022,20.672643,18.72465,45.397573,16.160894,37.655953,13.405171
28014 Arganda del Rey,2022,19.806169,17.990349999999996,43.717074999999994,15.277636,36.573385,12.781016
28015 Arroyomolinos,2022,26.280597,24.59905,63.701573999999994,20.168073999999997,50.611103,16.023474999999998
"28016 Atazar, El",2022,20.88559,18.72465,37.477622999999994,18.203297,31.653575,15.374144
28017 Batres,2022,23.507040999999997,21.661849999999998,53.293396,18.793884,43.261809,15.256656
28018 Becerril de la Sierra,2022,23.788172999999997,20.19325,51.608701999999994,19.58483,41.412422,15.715069
28019 Belmonte de Tajo,2022,18.381626999999998,17.25605,36.159029999999994,14.554875,30.762974,12.382396
28020 Berzosa del Lozoya,2022,23.383259,20.927549999999997,41.656839,21.211828999999998,34.127117,17.377733999999997
"28021 Berrueco, El",2022,19.959323,17.25605,38.756353999999995,16.428389,32.424589999999995,13.745047
28022 Boadilla del Monte,2022,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
